indice_tiempo,tipo_cambio_bna_vendedor
2018-07-01,29.4
2018-07-02,28.8
2018-07-03,28.3
2018-07-04,28.6
2018-07-05,28.5
2018-07-06,28.6
2018-07-07,28.6
2018-07-08,28.6
2018-07-09,28.6
2018-07-10,28.6
2018-07-11,28.6
2018-07-12,28.6
2018-07-13,28.6
2018-07-14,28.6
2018-07-15,28.6
2018-07-16,28.6
2018-07-17,28.6
2018-07-18,28.6
2018-07-19,28.6
2018-07-20,28.6
2018-07-21,28.6
2018-07-22,28.6
2018-07-23,28.6
2018-07-24,28.6
2018-07-25,28.6
2018-07-26,28.6
2018-07-27,28.6
2018-07-28,28.6
2018-07-29,28.6
2018-07-30,28.6
2018-07-31,28.6
2018-08-01,28.6
2018-08-02,28.6
2018-08-03,28.6
2018-08-04,28.6
2018-08-05,28.6
2018-08-06,28.6
2018-08-07,28.6
2018-08-08,28.1
2018-08-09,28.6
2018-08-10,29.7
2018-08-11,29.7
2018-08-12,29.7
2018-08-13,30.5
2018-08-14,30.1
2018-08-15,30.5
2018-08-16,30.3
2018-08-17,30.3
2018-08-18,30.3
2018-08-19,30.3
2018-08-20,30.3
2018-08-21,30.5
2018-08-22,30.7
2018-08-23,31.0
2018-08-24,31.4
2018-08-25,31.4
2018-08-26,31.4
2018-08-27,31.4
2018-08-28,31.9
2018-08-29,34.5
2018-08-30,38.2
2018-08-31,37.4
2018-09-01,37.4
2018-09-02,37.4
2018-09-03,38.0
2018-09-04,39.5
2018-09-05,39.0
2018-09-06,38.0
2018-09-07,37.6
2018-09-08,37.6
2018-09-09,37.6
2018-09-10,37.6
2018-09-11,38.5
2018-09-12,38.8
2018-09-13,40.1
2018-09-14,40.4
2018-09-15,40.4
2018-09-16,40.4
2018-09-17,40.2
2018-09-18,40.3
2018-09-19,39.8
2018-09-20,38.8
2018-09-21,37.8
2018-09-22,37.8
2018-09-23,37.8
2018-09-24,37.9
2018-09-25,38.7
2018-09-26,39.2
2018-09-27,40.6
2018-09-28,42.1
2018-09-29,42.1
2018-09-30,42.1
2018-10-01,40.5
2018-10-02,39.0
2018-10-03,38.6
2018-10-04,39.2
